Branch,Date,Clients,Portfolio,Portfolio > 1 Day, Portfolio > 30 Days
10,2011-06-30,31L, 51493438.65625, 907425.0, 0.0
10,2011-07-31,36L, 56646047.84375, 12702938.4375, 4187438.4375
10,2011-08-31,38L, 52019095.1171875, 9338899.125, 1494981.375
10,2011-09-30,38L, 47926014.0078125, 2295849.25, 763242.625
10,2011-10-31,43L, 52987995.2578125, 7899843.6015625, 27122.5
10,2011-11-30,44L, 60907759.484375, 511182.84375, 511182.84375
10,2011-12-31,44L, 54047432.203125, 9511182.84375, 511182.84375
11,2011-06-30,911L, 366197871.08199096, 37953808.99995971, 6234681.37890625
11,2011-07-31,911L, 359043634.5502167, 68948763.3514862, 10329566.91796875
11,2011-08-31,1071L, 485131110.06463623, 61740187.99432373, 10923346.33203125
11,2011-09-30,1062L, 480970938.0537491, 68189279.46976471, 7039979.494140625
11,2011-10-31,1132L, 563519033.5712891, 80019991.09863281, 6588915.078125
11,2011-11-30,1210L, 587632871.0443964, 52902810.91451359, 6928279.671875
11,2011-12-31,1174L, 615440271.6449219, 64325421.33437501, 5647117.2734375
12,2011-06-30,1163L, 458595445.9999609, 54831992.243125, 8688152.2275
12,2011-07-31,1334L, 479716232.94502926, 59657578.47432617, 8141664.852499999
12,2011-08-31,1599L, 577505993.1322784, 89789763.76460266, 8707813.83203125
12,2011-09-30,1741L, 626594068.6564331, 85036083.66815186, 5792752.626831055
12,2011-10-31,2022L, 701304908.6016235, 65381722.156311035, 7149365.9482421875
12,2011-11-30,2196L, 730414451.3975781, 52915314.23046875, 5843997.5849609375
12,2011-12-31,2333L, 771960276.7739258, 135904446.85791016, 9198694.041015625
13,2011-06-30,930L, 407274703.57666016, 26936817.662597656, 8004466.744628906
13,2011-07-31,1014L, 446080036.2038574, 32761363.318115234, 4718518.1328125
13,2011-08-31,1078L, 517680172.89501953, 33836620.232910156, 8424698.078125
13,2011-09-30,1131L, 543863754.3602295, 105201707.52429199, 15311669.875
13,2011-10-31,1243L, 571646908.956543, 75075186.66015625, 14517561.3984375
13,2011-11-30,1438L, 742937048.40625, 78423593.68945312, 12518008.453125
13,2011-12-31,1313L, 686932481.7962341, 144119152.48373413, 27845151.685455322
14,2011-06-30,350L, 135771407.64960158, 35536896.70819533, 9848858.401997209
14,2011-07-31,344L, 132578954.14816895, 50244908.8786377, 8848652.568481445
14,2011-08-31,466L, 187679468.25154114, 45429491.70271301, 8596620.970779419
14,2011-09-30,495L, 213496301.38432312, 52977840.78276062, 3714656.469039917
14,2011-10-31,560L, 249177144.77320313, 68463903.86500001, 7215480.265625
14,2011-11-30,617L, 255502867.60473633, 71728392.17700195, 6213461.106201172
14,2011-12-31,646L, 270035275.8508301, 100309338.9387207, 10813641.776611328
15,2011-06-30,500L, 139252770.2138672, 11493255.2734375, 1718400.8125
15,2011-07-31,766L, 214160702.43164062, 15160688.486328125, 4403142.4921875
15,2011-08-31,1101L, 296679487.4013672, 32151934.674804688, 4687913.09375
15,2011-09-30,1337L, 325776113.9375, 13428152.9140625, 5445167.4375
15,2011-10-31,1533L, 345619014.06591797, 11216467.187011719, 5358527.4140625
15,2011-11-30,1762L, 381473450.4394531, 18299030.38671875, 6922924.4765625
15,2011-12-31,1781L, 420375306.0283203, 40443977.005859375, 6097486.44921875
